code,name,date,bias1,bias2,bias3,boll,boll_upper,boll_lower,cci,kdj_k,kdj_d,kdj_j,macd_dif,macd_dea,macd_hist,open,high,low,close,settle_price,pct_change,turnover_million,volume,open_interest,rsi1,rsi2,rsi3,ma5,ma10,ma20,wr,mtm,mtmma,obv,po_net_holding_10k,vr,sd,vs_basis,turnover_rate_hs300
IF.CFE,沪深300期货,2010-11-09,0.15,0.79,2.26,2172.4,2447.2,1897.7,57.05,65.28,62.95,69.93,75.5118,80.8605,-10.6974,3581.6,3581.6,3528.2,3545.4,3541.4,-0.0079,146641.53,137677.0,19264,57.27,62.22,62.72,200000.0,230000.0,250000.0,37.04,-8.26,172.58,1156.0,-5291.0,0.0,0.0,21.45,0.0088
IF.CFE,沪深300期货,2010-11-10,-0.7,0.12,1.27,2187.6,2437.4,1937.8,-13.15,61.64,62.52,59.9,71.0852,78.9055,-15.6405,3542.0,3542.0,3489.0,3525.8,3516.8,-0.0044,139498.75,132284.0,18520,52.92,60.09,61.59,170000.0,210000.0,250000.0,45.62,24.39,163.15,-167.0,-5856.0,0.0,0.0,26.69,0.0086
IF.CFE,沪深300期货,2010-11-11,-0.79,0.0,0.77,2202.7,2420.7,1984.7,35.78,55.2,60.08,45.45,66.6244,76.4492,-19.6497,3575.0,3664.2,3557.0,3573.4,3613.8,0.0161,153954.87,141636.0,23236,52.06,59.69,61.38,150000.0,200000.0,250000.0,47.18,5.45,151.93,-1583.0,-7716.0,0.0,0.0,63.43,0.01
IF.CFE,沪深300期货,2010-11-12,-5.7,-6.13,-5.61,2210.6,2398.6,2022.6,-270.68,39.89,53.35,12.98,50.6527,71.2899,-41.2744,3529.0,3563.6,3307.6,3342.4,3357.6,-0.0751,241844.25,233801.0,22941,23.14,40.61,50.03,160000.0,200000.0,250000.0,90.72,-80.92,131.76,-3921.0,-6520.0,0.0,0.0,50.57,0.0116
IF.CFE,沪深300期货,2010-11-15,-3.89,-5.16,-5.29,2216.3,2383.7,2048.9,-221.61,30.61,45.77,0.3,38.0896,64.6499,-53.1205,3366.0,3385.0,3323.4,3352.8,3356.6,-0.0014,208484.04,207228.0,25503,25.38,41.53,50.46,170000.0,200000.0,240000.0,87.95,-161.53,110.64,-1849.0,-7879.0,0.0,0.0,37.91,0.0074
IF.CFE,沪深300期货,2010-11-16,-5.87,-8.29,-8.95,2216.4,2383.3,2049.6,-211.17,21.78,37.77,-10.21,20.63,55.8459,-70.4318,3349.0,3357.8,3191.0,3211.2,3215.4,-0.0433,242468.54,246564.0,25183,17.2,33.78,44.96,190000.0,200000.0,240000.0,95.89,-216.22,83.33,-4314.0,-6546.0,0.0,0.0,41.66,0.0078000000000000005
IF.CFE,沪深300期货,2010-11-17,-5.14,-8.91,-10.06,2214.8,2389.2,2040.4,-184.7,15.36,30.3,-14.53,3.9157,45.4599,-83.0883,3173.6,3230.0,3142.4,3156.0,3164.2,-0.0185,292366.71,306002.0,28980,14.94,31.29,43.05,230000.0,200000.0,230000.0,97.48,-233.13,54.16,-7374.0,-7090.0,0.0,88.23,52.09,0.006
IF.CFE,沪深300期货,2010-11-18,-1.85,-6.88,-8.68,2212.7,2394.8,2030.5,-134.07,13.3,24.64,-9.36,-7.4793,34.872,-84.7026,3181.2,3214.6,3155.6,3190.4,3195.8,0.0083,225916.38,236016.0,29185,22.54,34.57,44.58,250000.0,200000.0,230000.0,91.12,-245.18,26.61,-5014.0,-6231.0,0.0,99.22,42.44,0.004699999999999999
IF.CFE,沪深300期货,2010-11-19,0.41,-4.24,-6.79,2211.4,2397.4,2025.3,-105.95,18.09,22.45,9.36,-13.6028,25.1771,-77.5598,3210.0,3252.2,3083.4,3244.0,3211.8,0.0151,301544.14,317329.0,26630,33.62,39.47,46.9,260000.0,210000.0,230000.0,72.35,-245.42,1.79,-1841.0,-4729.0,0.0,105.27,65.15,0.0059
IF.CFE,沪深300期货,2010-11-22,-0.29,-4.62,-7.74,2205.2,2404.6,2005.8,-88.12,18.12,21.01,12.34,-21.0354,15.9346,-73.9399,3219.8,3238.6,3165.0,3189.0,3181.4,-0.0071,238571.68,248086.0,24897,28.58,36.41,44.89,270000.0,220000.0,230000.0,81.82,-281.43,-26.66,-4322.0,-5069.0,0.0,109.44,17.06,0.0059
IF.CFE,沪深300期货,2010-11-23,-1.85,-5.29,-9.06,2198.9,2415.3,1982.5,-99.63,15.22,19.08,7.49,-30.0478,6.7381,-73.5719,3180.0,3181.6,3065.0,3121.4,3132.2,-0.0189,267084.27,285775.0,22502,23.41,32.99,42.54,280000.0,240000.0,230000.0,90.59,-302.35,-54.06,-7179.0,-4186.0,0.0,116.69,14.22,0.0055000000000000005
IF.CFE,沪深300期货,2010-11-24,0.28,-1.85,-6.38,2192.2,2418.1,1966.3,-70.52,19.0,19.05,18.89,-32.9114,-1.1918,-63.4392,3110.4,3220.4,3105.2,3197.4,3191.0,0.0208,278859.25,292230.0,23296,38.44,39.92,45.86,280000.0,250000.0,230000.0,77.9,-241.38,-74.45,-4257.0,-4628.0,86.2,120.11,20.36,0.0053
IF.CFE,沪深300期货,2010-11-25,0.99,0.14,-5.02,2185.3,2417.1,1953.5,-46.55,29.6,22.57,43.67,-33.248,-7.603,-51.2898,3212.0,3245.0,3186.0,3227.6,3231.6,0.0115,182629.16,189336.0,21266,43.7,42.49,47.12,270000.0,260000.0,230000.0,67.39,-219.89,-93.95,-2364.0,-2243.0,82.82,120.74,4.12,0.0059
IF.CFE,沪深300期货,2010-11-26,0.73,0.08,-5.1,2178.3,2416.0,1940.6,-43.8,36.58,27.24,55.27,-33.8733,-12.8571,-42.0325,3229.8,3242.0,3175.0,3213.0,3207.0,-0.0058,201290.33,209016.0,19864,41.64,41.55,46.57,240000.0,250000.0,230000.0,53.75,-82.28,-98.97,-4454.0,-1974.0,69.76,123.01,18.15,0.0046
IF.CFE,沪深300期货,2010-11-29,0.55,0.49,-4.57,2170.9,2413.2,1928.6,-39.45,50.56,35.01,81.66,-34.028,-17.0913,-33.8735,3207.6,3238.0,3170.2,3212.0,3217.2,0.0016,163535.49,170248.0,21147,41.48,41.48,46.53,230000.0,250000.0,220000.0,49.8,-89.53,-110.73,-6156.0,-3005.0,71.17,120.68,21.95,0.0042
IF.CFE,沪深300期货,2010-11-30,-1.48,-1.17,-5.76,2158.5,2400.6,1916.4,-71.17,49.41,39.81,68.61,-36.744,-21.0218,-31.4444,3210.4,3222.0,3077.8,3153.2,3145.8,-0.0199,239359.02,253848.0,20203,32.58,37.51,44.28,220000.0,250000.0,220000.0,52.88,-36.88,-115.04,-8695.0,-1224.0,72.29,120.93,16.21,0.006
IF.CFE,沪深300期货,2010-12-01,-1.4,-1.37,-5.45,2147.2,2390.2,1904.1,-84.24,47.29,42.31,57.27,-38.8388,-24.5852,-28.5071,3153.4,3166.6,3126.6,3145.6,3151.8,-0.0001,168454.6,178326.0,20223,31.53,37.02,43.99,200000.0,240000.0,220000.0,56.94,-6.61,-115.83,-8786.5,-2788.0,61.05,121.09,9.58,0.0034000000000000002
IF.CFE,沪深300期货,2010-12-02,-0.33,-0.61,-4.2,2138.1,2382.8,1893.4,-24.33,50.57,45.06,61.58,-38.9112,-27.4504,-22.9216,3185.0,3220.0,3167.8,3167.8,3176.6,0.0051,153395.2,160005.0,23169,38.47,39.58,45.08,190000.0,230000.0,210000.0,45.09,-14.37,-119.0,-8878.0,-3372.0,71.5,117.07,12.74,0.0043
IF.CFE,沪深300期货,2010-12-03,0.13,-0.16,-3.32,2128.6,2371.7,1885.4,-46.61,54.08,48.07,66.11,-38.1593,-29.5922,-17.1343,3179.8,3190.4,3138.2,3175.0,3173.2,-0.0005,169683.01,178485.0,20556,40.81,40.44,45.44,190000.0,220000.0,210000.0,38.89,-43.88,-124.82,-7093.0,-2892.0,69.9,107.84,16.84,0.0034999999999999996
IF.CFE,沪深300期货,2010-12-06,0.27,-0.23,-2.76,2121.3,2366.1,1876.4,-10.35,54.63,50.26,63.39,-37.3383,-31.1414,-12.3937,3189.0,3207.2,3151.0,3171.0,3174.4,-0.0007,160144.43,168030.0,21389,39.8,40.09,45.26,190000.0,210000.0,210000.0,41.11,-11.45,-124.54,-8774.0,-2546.0,72.06,95.41,5.43,0.0039000000000000003
IF.CFE,沪深300期货,2010-12-07,1.43,1.05,-0.63,2111.8,2347.8,1875.9,40.08,65.13,55.22,84.96,-33.6927,-31.6517,-4.082,3156.2,3243.0,3115.2,3221.8,3221.4,0.0149,214567.26,225376.0,21564,56.26,46.42,47.87,180000.0,200000.0,220000.0,13.88,63.84,-120.94,-6520.0,-3617.0,87.99,81.13,21.46,0.0040999999999999995
IF.CFE,沪深300期货,2010-12-08,-0.61,-0.79,-1.91,2102.3,2333.7,1870.8,4.68,59.93,56.79,66.21,-33.6076,-32.0429,-3.1294,3200.0,3228.8,3157.2,3159.6,3185.6,-0.0192,161013.19,167505.0,20803,40.14,40.68,45.13,180000.0,190000.0,220000.0,51.08,-24.04,-123.36,-8195.0,-2774.0,74.68,64.46,-12.28,0.0040999999999999995
IF.CFE,沪深300期货,2010-12-09,-1.06,-1.14,-1.87,2092.9,2320.8,1865.0,-83.48,52.46,55.34,46.69,-34.1623,-32.4667,-3.391,3173.0,3184.0,3126.2,3139.8,3146.0,-0.0144,181465.9,191446.0,22096,36.18,39.0,44.28,190000.0,190000.0,220000.0,62.47,-55.83,-126.42,-8164.0,-3329.0,63.42,38.17,16.43,0.0046
IF.CFE,沪深300期货,2010-12-10,-0.04,0.0,-0.61,2083.0,2300.3,1865.7,-37.19,53.9,54.86,51.98,-32.5945,-32.4923,-0.2044,3130.2,3199.0,3118.4,3171.6,3172.6,0.0081,186942.88,197612.0,21517,46.38,43.11,45.97,190000.0,190000.0,220000.0,43.22,-26.33,-123.69,-8133.0,-3738.0,65.26,31.76,9.62,0.004
IF.CFE,沪深300期货,2010-12-13,2.57,3.07,2.78,2074.3,2271.3,1877.4,191.54,67.68,59.14,84.78,-25.7193,-31.1377,10.8368,3220.0,3283.6,3191.0,3275.6,3262.8,0.0325,186206.18,191913.0,18932,67.04,54.12,51.05,190000.0,190000.0,220000.0,3.89,40.44,-113.59,-6214.0,-4268.0,74.87,24.44,14.54,0.0066
IF.CFE,沪深300期货,2010-12-14,2.28,2.73,2.74,2065.7,2238.0,1893.4,195.5,75.78,64.68,97.97,-19.9281,-28.8958,17.9354,3273.0,3292.0,3269.0,3277.8,3277.2,0.0046,102682.28,104371.0,14729,67.36,54.33,51.15,170000.0,180000.0,210000.0,8.03,79.23,-98.82,-5170.0,-4562.0,82.13,27.48,8.33,0.0058
IF.CFE,沪深300期货,2010-12-15,0.63,1.29,1.46,2057.0,2203.7,1910.3,123.58,74.32,67.9,87.18,-17.0067,-26.518,19.0224,3317.4,3330.0,3278.2,3283.0,3292.6,0.0018,129068.48,130137.0,18126,56.51,50.3,49.39,160000.0,170000.0,200000.0,28.58,60.96,-84.12,-6472.0,-3873.0,82.47,27.88,35.36,0.005
IF.CFE,沪深300期货,2010-12-16,-0.46,0.54,0.83,2048.3,2165.2,1931.5,75.89,69.86,68.55,72.47,-15.4657,-24.3075,17.6836,3280.0,3308.0,3261.2,3264.2,3275.0,-0.0086,128409.46,130281.0,20809,51.43,48.3,48.5,150000.0,170000.0,200000.0,39.08,35.04,-70.11,-7775.0,-4788.0,85.65,28.16,33.53,0.0039000000000000003
IF.CFE,沪深300期货,2010-12-17,-0.37,0.85,1.36,2040.2,2113.5,1966.9,60.79,70.0,69.03,71.94,-13.2407,-22.0941,17.7069,3279.0,3285.0,3255.0,3281.0,3269.2,0.0018,140288.79,142994.0,23276,55.7,50.23,49.35,140000.0,160000.0,190000.0,29.7,41.01,-55.79,-6345.0,-3510.0,83.26,28.0,55.34,0.0031
IF.CFE,沪深300期货,2010-12-20,-1.9,-1.35,-0.83,2035.9,2101.0,1970.8,-40.71,59.09,65.72,45.82,-14.9426,-20.6638,11.4425,3293.0,3310.0,3135.0,3209.2,3211.8,-0.0184,214509.12,222228.0,23073,38.39,42.79,45.96,150000.0,170000.0,190000.0,62.75,-1.53,-41.79,-8567.0,-3955.0,84.02,28.26,30.54,0.0052
IF.CFE,沪深300期货,2010-12-21,1.08,1.42,1.86,2033.7,2088.2,1979.2,46.95,67.57,66.34,70.05,-11.3878,-18.8086,14.8417,3220.0,3306.0,3207.4,3303.4,3291.6,0.0285,201114.69,205960.0,24712,58.63,52.79,50.61,170000.0,170000.0,190000.0,15.45,25.31,-25.41,-6507.0,-3801.0,103.68,27.5,53.89,0.0055000000000000005
IF.CFE,沪深300期货,2010-12-22,-0.51,-0.55,0.01,2033.5,2087.9,1979.1,9.92,63.22,65.3,59.07,-11.4679,-17.3405,11.7451,3303.0,3307.0,3211.4,3243.6,3244.6,-0.0146,173385.24,176758.0,22657,46.9,47.09,47.88,180000.0,170000.0,180000.0,45.48,27.32,-11.97,-8275.0,-3424.0,87.12,27.49,28.15,0.0048
IF.CFE,沪深300期货,2010-12-23,-1.01,-1.44,-0.7,2034.0,2087.6,1980.4,-36.24,56.07,62.22,43.77,-12.6721,-16.4068,7.4694,3244.6,3274.0,3204.4,3218.2,3223.6,-0.0081,212007.89,218391.0,23734,42.55,44.85,46.76,190000.0,170000.0,180000.0,58.23,23.96,0.22,-8312.032258064517,-4089.0,68.66,27.44,29.59,0.0042
IF.CFE,沪深300期货,2010-12-24,-1.17,-2.06,-1.29,2033.2,2087.8,1978.5,-101.03,47.66,57.37,28.23,-14.563,-16.038,2.9501,3211.2,3224.0,3166.8,3196.4,3197.0,-0.0084,238256.82,248186.0,24072,38.85,42.93,45.81,210000.0,180000.0,180000.0,69.17,-9.94,3.84,-8349.064516129032,-4963.0,68.66,28.05,33.45,0.0038
IF.CFE,沪深300期货,2010-12-27,-3.03,-3.86,-3.49,2029.1,2089.8,1968.5,-130.78,32.63,49.12,-0.35,-19.775,-16.7854,-5.9791,3211.0,3265.0,3113.0,3118.6,3140.4,-0.0245,252578.74,262972.0,25998,28.3,36.81,42.57,220000.0,180000.0,190000.0,97.47,-124.92,2.07,-8386.09677419355,-4579.0,69.23,32.54,18.89,0.0048
IF.CFE,沪深300期货,2010-12-28,-3.03,-4.5,-4.69,2025.4,2097.4,1953.3,-193.06,21.87,40.04,-14.47,-25.8568,-18.5997,-14.5141,3118.6,3127.6,3073.4,3074.2,3090.2,-0.0211,192831.85,206947.0,27135,23.86,33.81,40.84,220000.0,190000.0,190000.0,99.69,-154.19,-3.8,-8423.129032258064,-5344.0,54.39,39.07,29.27,0.0039000000000000003
IF.CFE,沪深300期货,2010-12-29,-1.54,-3.39,-4.01,2023.7,2101.5,1945.9,-165.56,18.27,32.78,-10.75,-29.4556,-20.7709,-17.3694,3070.0,3095.2,3064.4,3091.6,3083.0,0.0005,138044.41,149470.0,27001,29.09,36.04,41.81,220000.0,200000.0,180000.0,88.93,-120.17,-9.48,-8460.161290322581,-5143.0,53.03,43.08,29.77,0.0031
IF.CFE,沪深300期货,2010-12-30,-0.68,-2.8,-3.77,2020.2,2104.2,1936.2,-131.15,17.77,27.78,-2.24,-31.8293,-22.9826,-17.6935,3083.0,3115.0,3050.2,3093.8,3097.8,0.0035,174841.28,188796.0,24850,29.82,36.33,41.93,210000.0,200000.0,190000.0,83.22,-106.98,-14.11,-8497.193548387097,-4838.0,64.03,46.61,29.7,0.0037
IF.CFE,沪深300期货,2010-12-31,1.61,-0.43,-1.71,2017.5,2101.7,1933.3,-67.48,25.71,27.09,22.96,-30.1611,-24.4183,-11.4856,3097.8,3161.0,3094.4,3157.0,3150.8,0.0191,218875.11,233054.0,21550,48.23,44.39,45.43,210000.0,210000.0,190000.0,58.89,-77.85,-15.81,-8534.225806451614,-4785.0,77.42,47.32,28.74,0.0043
IF.CFE,沪深300期货,2011-01-04,2.25,0.73,-0.59,2016.0,2099.7,1932.3,-10.05,35.55,29.91,46.82,-26.7574,-24.8861,-3.7427,3171.8,3215.0,3159.2,3192.0,3203.4,0.0131,182092.07,190256.0,21724,55.91,48.34,47.27,190000.0,210000.0,190000.0,44.78,-10.8,-15.77,-8571.258064516129,-4230.0,94.22,47.4,2.32,0.0059
IF.CFE,沪深300期货,2011-01-05,1.35,0.94,-0.63,2014.4,2097.6,1931.2,-1.73,44.04,34.62,62.89,-24.0463,-24.7181,1.3437,3188.0,3203.8,3176.4,3186.8,3187.6,-0.0052,139849.35,146115.0,19969,54.47,47.79,47.03,180000.0,200000.0,190000.0,46.81,-73.2,-22.63,-8608.290322580646,-3387.0,95.56,46.86,11.14,0.0055000000000000005
IF.CFE,沪深300期货,2011-01-06,0.39,0.73,-1.02,2013.9,2097.4,1930.3,4.89,48.42,39.22,66.82,-22.3392,-24.2424,3.8062,3197.6,3224.2,3166.0,3173.0,3174.4,-0.0046,177956.82,186234.0,21747,50.34,46.27,46.36,190000.0,200000.0,190000.0,45.13,-44.32,-23.64,-8645.322580645161,-3671.0,81.8,47.1,13.36,0.0040999999999999995
IF.CFE,沪深300期货,2011-01-07,-0.16,0.81,-1.07,2013.5,2097.4,1929.7,6.56,51.03,43.16,66.77,-20.8474,-23.5634,5.4319,3162.0,3230.0,3145.0,3171.0,3164.8,-0.0011,208035.34,217547.0,19468,49.68,46.04,46.26,190000.0,200000.0,190000.0,43.76,-29.63,-22.33,-8682.354838709678,-3647.0,68.46,47.22,4.38,0.0058
IF.CFE,沪深300期货,2011-01-10,-1.48,-0.51,-2.46,2011.4,2097.9,1925.0,-39.11,47.33,44.55,52.89,-21.8951,-23.2297,2.6692,3183.0,3198.0,3115.4,3122.0,3131.8,-0.0135,177035.05,186662.0,23331,35.93,40.59,43.86,190000.0,200000.0,190000.0,66.57,-46.71,-23.35,-8719.387096774193,-3896.0,67.99,48.63,13.81,0.0045000000000000005
IF.CFE,沪深300期货,2011-01-11,-0.59,0.0,-1.63,2009.6,2097.4,1921.8,-51.59,48.2,45.76,53.07,-21.565,-22.8968,2.6636,3130.0,3141.0,3106.0,3140.0,3126.4,0.0026,161097.72,171964.0,23216,42.9,43.28,44.96,180000.0,190000.0,190000.0,50.06,13.44,-24.7,-8756.41935483871,-3724.0,66.0,46.11,15.08,0.0039000000000000003
IF.CFE,沪深300期货,2011-01-12,0.05,0.18,-0.94,2008.2,2096.7,1919.7,-21.35,51.3,47.61,58.69,-20.3794,-22.3933,4.0278,3151.0,3165.4,3107.0,3153.6,3137.4,0.0087,194454.71,206573.0,20891,48.02,45.32,45.79,190000.0,190000.0,190000.0,42.49,49.85,-26.17,-8793.451612903225,-3438.0,78.57,42.29,11.26,0.004
IF.CFE,沪深300期货,2011-01-13,0.01,-0.21,-0.94,2005.4,2093.2,1917.6,4.02,47.13,47.45,46.49,-19.5488,-21.8244,4.5511,3167.0,3174.8,3128.4,3147.0,3150.8,0.0031,190801.46,201842.0,20932,45.64,44.47,45.44,200000.0,190000.0,190000.0,46.16,34.78,-27.48,-8830.483870967742,-3636.0,78.24,39.9,5.72,0.0036
IF.CFE,沪深300期货,2011-01-14,-1.1,-1.79,-2.24,2002.9,2093.9,1912.0,-69.12,33.41,42.77,14.68,-21.1595,-21.6914,1.0639,3143.0,3144.8,3089.0,3097.4,3108.0,-0.0169,194231.85,207938.0,22644,31.52,38.57,42.88,190000.0,190000.0,200000.0,94.04,2.26,-29.12,-8867.516129032258,-4725.0,65.11,39.19,5.54,0.0037
IF.CFE,沪深300期货,2011-01-17,-4.2,-5.22,-5.75,1997.9,2103.6,1892.2,-203.54,22.81,36.11,-3.81,-28.4707,-23.0473,-10.8468,3090.2,3096.0,2967.6,2971.8,2984.6,-0.0438,183812.34,202138.0,23177,16.24,28.21,37.33,200000.0,190000.0,200000.0,98.4,-116.27,-36.98,-8904.548387096775,-4902.0,54.12,44.46,-2.55,0.0046
IF.CFE,沪深300期货,2011-01-18,-3.09,-4.49,-5.32,1992.2,2109.2,1875.1,-200.18,16.91,29.71,-8.7,-33.7642,-25.1907,-17.1471,2971.6,2986.8,2960.2,2974.0,2976.8,-0.0036,127905.6,143426.0,17968,17.09,28.58,37.48,190000.0,190000.0,200000.0,94.89,-136.87,-43.75,-8941.58064516129,-3230.0,55.44,50.19,-3.65,0.003
IF.CFE,沪深300期货,2011-01-19,-0.08,-1.77,-2.68,1985.6,2100.7,1870.4,-116.24,21.7,27.04,11.02,-33.9909,-26.9507,-14.0804,2977.8,3052.8,2968.0,3044.6,3038.0,0.0228,142516.89,157936.0,10664,40.28,39.41,42.06,180000.0,190000.0,200000.0,68.72,-89.28,-49.48,-8978.612903225807,-6029.0,63.62,45.8,-0.25,0.0039000000000000003
IF.CFE,沪深300期货,2011-01-20,-2.32,-4.58,-5.73,1976.3,2097.1,1855.4,-141.7,14.91,23.0,-1.26,-39.288,-29.4182,-19.7397,3065.6,3065.6,2953.6,2957.2,2962.2,-0.0266,174699.45,193701.0,18909,26.45,31.34,37.58,180000.0,190000.0,200000.0,98.8,-149.65,-58.33,-9015.645161290322,-3929.0,62.22,50.01,12.49,0.0042
IF.CFE,沪深300期货,2011-01-21,-0.36,-2.86,-4.27,1968.7,2092.2,1845.1,-104.96,15.62,20.54,5.78,-41.3205,-31.7986,-19.0438,2950.6,3062.0,2948.0,2990.8,2997.0,0.0097,279112.35,310304.0,21179,34.62,35.69,39.62,200000.0,200000.0,200000.0,84.41,-127.46,-65.9,-9052.677419354839,-3789.0,68.03,51.4,7.34,0.005
IF.CFE,沪深300期货,2011-01-24,-0.88,-2.97,-4.55,1961.0,2088.3,1833.7,-99.65,13.36,18.15,3.79,-43.4659,-34.1321,-18.6676,3005.4,3018.4,2954.2,2970.2,2975.6,-0.0089,219803.34,245416.0,22120,32.0,34.24,38.81,210000.0,200000.0,200000.0,91.16,-109.53,-70.88,-9089.709677419354,-3991.0,67.49,53.58,15.97,0.0045000000000000005
IF.CFE,沪深300期货,2011-01-25,-0.98,-2.66,-4.59,1952.7,2081.3,1824.1,-99.14,12.04,16.11,3.89,-45.1584,-36.3373,-17.642,2979.0,2982.8,2935.2,2960.0,2949.4,-0.0052,199814.61,225117.0,24192,30.63,33.5,38.4,230000.0,210000.0,200000.0,90.61,-127.18,-70.99,-9126.741935483871,-4296.0,56.04,57.34,21.35,0.0034000000000000002
